model,threshold,precision,recall,f1_score
hist_gradient_boosting,0.27,0.8870192307692307,0.983344437041972,0.9327014218009478
hist_gradient_boosting,0.28,0.8890229191797346,0.9820119920053297,0.9332067109844887
hist_gradient_boosting,0.29,0.8910411622276029,0.9806795469686875,0.9337139232477006
hist_gradient_boosting,0.3,0.8953771289537713,0.9806795469686875,0.9360890302066772
hist_gradient_boosting,0.31,0.8992058643860721,0.9806795469686875,0.9381771829190567
hist_gradient_boosting,0.32,0.9019607843137255,0.9806795469686875,0.939674433450367
hist_gradient_boosting,0.33,0.9030079803560467,0.9800133244503664,0.9399361022364218
hist_gradient_boosting,0.34,0.9045566502463054,0.9786808794137242,0.94016
hist_gradient_boosting,0.35,0.9067901234567901,0.9786808794137242,0.9413649471323294
hist_gradient_boosting,0.36,0.9071782178217822,0.9766822118587608,0.9406480590311197
hist_gradient_boosting,0.37,0.9076827757125155,0.9760159893404398,0.9406099518459069
hist_gradient_boosting,0.38,0.9093167701863354,0.9753497668221186,0.9411764705882353
hist_gradient_boosting,0.39,0.910958904109589,0.9746835443037974,0.9417444480205986
hist_gradient_boosting,0.4,0.910958904109589,0.9746835443037974,0.9417444480205986
hist_gradient_boosting,0.41,0.9132334581772784,0.9746835443037974,0.9429584273283919
hist_gradient_boosting,0.42,0.91375,0.9740173217854764,0.9429216381812319
hist_gradient_boosting,0.43,0.9148936170212766,0.9740173217854764,0.9435301710229106
hist_gradient_boosting,0.44,0.9164572864321608,0.972018654230513,0.9434206272227611
hist_gradient_boosting,0.45,0.9181875393329137,0.972018654230513,0.944336569579288
hist_gradient_boosting,0.46,0.9198738170347003,0.9713524317121919,0.9449125081011017
hist_gradient_boosting,0.47,0.9221518987341772,0.9706862091938707,0.9457968192145407
hist_gradient_boosting,0.48,0.922102596580114,0.9700199866755497,0.9454545454545454
hist_gradient_boosting,0.49,0.9232233502538071,0.9693537641572285,0.945726356841079
hist_gradient_boosting,0.5,0.9261616804583068,0.9693537641572285,0.947265625
hist_gradient_boosting,0.51,0.9266581632653061,0.9680213191205863,0.9468882372108178
hist_gradient_boosting,0.52,0.9277955271565496,0.9673550966022652,0.9471624266144814
hist_gradient_boosting,0.53,0.9300833867864016,0.966022651565623,0.9477124183006536
hist_gradient_boosting,0.54,0.9324324324324325,0.9653564290473018,0.9486088379705401
hist_gradient_boosting,0.55,0.9330328396651641,0.9653564290473018,0.9489194499017681
hist_gradient_boosting,0.56,0.9335912314635719,0.9646902065289806,0.9488859764089121
hist_gradient_boosting,0.57,0.9347545219638242,0.9640239840106596,0.9491636602164644
hist_gradient_boosting,0.58,0.9365284974093264,0.9633577614923384,0.9497536945812808
hist_gradient_boosting,0.59,0.937094682230869,0.9626915389740173,0.9497206703910615
hist_gradient_boosting,0.6,0.9388418998048146,0.9613590939373751,0.9499670836076366
hist_gradient_boosting,0.61,0.940026075619296,0.960692871419054,0.9502471169686986
hist_gradient_boosting,0.62,0.9436065573770491,0.9586942038640907,0.9510905485789821
hist_gradient_boosting,0.63,0.9447731755424064,0.9573617588274483,0.9510258107213766
hist_gradient_boosting,0.64,0.9459459459459459,0.9560293137908061,0.950960901259112
hist_gradient_boosting,0.65,0.9471249173826835,0.9546968687541639,0.9508958195089582
hist_gradient_boosting,0.66,0.9483785572468564,0.9546968687541639,0.951527224435591
hist_gradient_boosting,0.67,0.9483443708609272,0.9540306462358428,0.9511790102955828
hist_gradient_boosting,0.68,0.950863213811421,0.9540306462358428,0.9524442966411706
hist_gradient_boosting,0.69,0.9527296937416777,0.9533644237175216,0.9530469530469531
hist_gradient_boosting,0.7,0.9552438209752839,0.9526982011992006,0.9539693128752502
hist_gradient_boosting,0.71,0.9571332886805091,0.9520319786808794,0.9545758183032732
hist_gradient_boosting,0.72,0.9583892617449664,0.9513657561625583,0.954864593781344
hist_gradient_boosting,0.73,0.959005376344086,0.9506995336442372,0.9548343927735028
hist_gradient_boosting,0.74,0.9608372721134368,0.9480346435709527,0.95439302481556
hist_gradient_boosting,0.75,0.9614604462474645,0.9473684210526315,0.9543624161073826
hist_gradient_boosting,0.76,0.9640190088255262,0.9460359760159893,0.9549428379287155
hist_gradient_boosting,0.77,0.9653061224489796,0.9453697534976683,0.9552339279703803
hist_gradient_boosting,0.78,0.9679399727148704,0.9453697534976683,0.9565217391304348
hist_gradient_boosting,0.79,0.9705681040383299,0.9447035309793471,0.9574611748818366
hist_gradient_boosting,0.8,0.9718792866941015,0.944037308461026,0.9577559986481919
hist_gradient_boosting,0.81,0.9725274725274725,0.9433710859427049,0.9577274264457221
hist_gradient_boosting,0.82,0.9731589814177564,0.9420386409060626,0.957345971563981
hist_gradient_boosting,0.83,0.9757617728531855,0.938707528314457,0.9568760611205432
hist_gradient_boosting,0.84,0.9783368273934312,0.9327115256495669,0.9549795361527967
hist_gradient_boosting,0.85,0.979663394109397,0.9307128580946036,0.9545609839426034
hist_gradient_boosting,0.86,0.9823446327683616,0.9267155229846769,0.953719574905725
hist_gradient_boosting,0.87,0.9829787234042553,0.9233844103930713,0.9522500858811405
hist_gradient_boosting,0.88,0.9828571428571429,0.91672218520986,0.9486384005515339
hist_gradient_boosting,0.89,0.9842293906810036,0.9147235176548968,0.9482044198895028
hist_gradient_boosting,0.9,0.9870223503965393,0.9120586275816123,0.9480609418282548
hist_gradient_boosting,0.91,0.9883636363636363,0.905396402398401,0.9450625869262865
hist_gradient_boosting,0.92,0.9882869692532943,0.899400399733511,0.9417509591907918
hist_gradient_boosting,0.93,0.9889217134416544,0.8920719520319786,0.9380035026269702
hist_gradient_boosting,0.94,0.9910179640718563,0.8820786142571619,0.9333803313359182
hist_gradient_boosting,0.95,0.9931818181818182,0.8734177215189873,0.9294576391350585
hist_gradient_boosting,0.96,0.9953452288595811,0.854763491005996,0.9197132616487456
hist_gradient_boosting,0.97,0.995249406175772,0.8374417055296469,0.9095513748191028
hist_gradient_boosting,0.98,0.9959150326797386,0.8121252498334444,0.8946788990825688
hist_gradient_boosting,0.99,1.0,0.765489673550966,0.8671698113207548
